run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-11-27 15:58:47.254,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:47.480,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:47.700,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:47.920,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:48.141,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:48.361,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:48.582,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:48.803,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:49.026,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:49.247,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:49.467,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:49.688,run_4_repetition_2,,,cpp,180,2,10.0,21889024
2024-11-27 15:58:49.915,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:50.141,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:50.361,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:50.582,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:50.802,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:51.022,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:51.243,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:51.463,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:51.683,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:51.903,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:52.124,run_4_repetition_2,,,cpp,180,2,10.0,21889024
2024-11-27 15:58:52.344,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:52.564,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:52.783,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:53.014,run_4_repetition_2,,,cpp,180,2,0.0,21889024
2024-11-27 15:58:53.228,run_4_repetition_2,,,cpp,180,2,0.0,21889024
