run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-12-02 23:40:46.739,run_12_repetition_19,,,py,180,1,0.0,41238528
2024-12-02 23:40:46.970,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:47.202,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:47.433,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:47.664,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:47.904,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:48.120,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:48.337,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:48.555,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:48.770,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:48.988,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:49.204,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:49.421,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:49.637,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:49.852,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:50.067,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:50.283,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:50.501,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:50.719,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:50.939,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:51.159,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:51.380,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:51.612,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:51.832,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:52.056,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:52.287,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:52.511,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:52.733,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:52.954,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:53.183,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:53.414,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:53.645,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:53.876,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:54.106,run_12_repetition_19,,,py,180,1,10.0,41631744
2024-12-02 23:40:54.331,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:54.552,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:54.773,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:54.996,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:55.218,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:55.439,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:55.661,run_12_repetition_19,,,py,180,1,0.0,41631744
2024-12-02 23:40:55.882,run_12_repetition_19,,,py,180,1,10.0,41631744
